season,episode,dialog,num_words,speaker
1,1,The Year 2030],3,[Title
1,1,"Kids, I'm going to tell you an incredible story. The story of how I met your mother",17,Narrator
1,1,Are we being punished for something?,6,Son
1,1,No,1,Narrator
1,1,"Yeah, is this going to take a while?",8,Daughter
1,1,"Yes.  Twenty-five years ago, before I was dad, I had this whole other life.",14,Narrator
1,1,"It was way back in 2005. I was twenty-seven just starting to make it as an architect and living in New York with my friend Marshall, my best friend from college. My life was good and then Uncle Marshall went and screwed the whole thing up.",46,Narrator
1,1,Will you marry me.,4,Marshall
1,1,"Yes, perfect! And then you're engaged, you pop the champagne! You drink a toast! You have s*x on the kitchen floor... Don't have s*x on our kitchen floor.",28,Ted
1,1,"Got it. Thanks for helping me plan this out, Ted.",10,Marshall
1,1,"Dude, are you kidding? It's you and Lily! I've been there for all the big moments of you and Lily. The night you met. Your first date... other first things.",30,Ted
1,1,"yeah, sorry. We thought you were asleep.",7,Marshall
1,1,"It's physics Marshall, if the bottom bunk moves, the top bunk moves too. My god, you're getting engaged tonight.",19,Ted
1,1,"Yeah, what are you doing tonight?",6,Marshall
1,1,"What was I doing? Your Uncle Marshall was taking the biggest step of his life, and me-I'm calling your Uncle, Barney.",21,Narrator
1,1,"Barney's in the barber shop, Ted's talking from home]",9,[Cut to Later
1,1,"hey, so you know how I've always had a thing for half-Asian girls? Well, now I've got a new favorite",20,Barney
1,1,"Hey, you wanna do something tonight?",6,Ted
1,1,"Okay, meet me at the bar in fifteen minutes, and Suit up!",12,Barney
1,1,Hey.,1,Ted
1,1,"Where's your suit!? Just once when I say suit up, I wish you'd put on a suit.",17,Barney
1,1,I did that one time.,5,Ted
1,1,It was a blazer!,4,Barney
1,1,"You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call &quot;Uncle Ted&quot;.",39,Ted
1,1,I see what this is about. Have you forgotten what I said to you the night we met?,18,Barney
1,1,"Ted, I'm going to teach you how to live. (Ted's shocked) Barney, we met at the urinal.",17,Barney
1,1,"Oh, right. Hi.",3,Ted
1,1,"Lesson one, lose the goatee. It doesn't look good with your suit.",12,Barney
1,1,I'm not wearing a suit.,5,Ted
1,1,"Lesson two, get a suit. Suits are cool.  Exhibit A.  Lesson three, don't even think about getting married till you're... thirty.",21,Barney
1,1,"Thirty, right. You're right. I guess it's just, you're best friend gets engaged-you start thinking about that stuff.",18,Ted
1,1,"I thought I was your best friend. Ted, say I'm your best friend.",13,Barney
1,1,"You're my best friend, Barney.",5,Ted
1,1,"Good! And as your best friend, I suggest we play a little game called... &quot;Have you met Ted?&quot;",18,Barney
1,1,"Wai-no, no, no. We're not playing &quot;Have You Met Ted?&quot;",10,Ted
1,1,"Hi, have you met Ted? .",6,Barney
1,1,"Hi, I'm Ted.",3,Ted
1,1,Yasmine.,1,Yasmine
1,1,It's a very pretty name.,5,Ted
1,1,"Thanks, It's Lebanese.",3,Yasmine
1,1,Hey!,1,Marshall
